date,code,open,high,low,close,volume,amount,return
2025-04-28,600519,1500.44,1503.44,1495.04,1498.44,14660,2274252465.0,0.0
2025-04-29,600519,1498.44,1500.98,1480.46,1492.44,18922,2917422938.0,-0.004004164330904114
2025-04-30,600519,1498.43,1515.1,1494.74,1495.44,25754,4005439429.0,0.0020101310605451506
2025-05-06,600519,1507.44,1507.44,1492.77,1498.64,18300,2838614215.0,0.0021398384421975614
2025-05-07,600519,1518.44,1518.44,1498.64,1503.44,27462,4275142569.0,0.00320290396626266
2025-05-08,600519,1501.44,1541.22,1498.27,1526.63,33481,5265446444.0,0.01542462619060303
2025-05-09,600519,1527.43,1545.89,1523.49,1539.62,23672,3757574546.0,0.008508937987593335
2025-05-12,600519,1546.44,1567.37,1545.05,1552.94,24735,3967785800.0,0.008651485431470318
2025-05-13,600519,1557.36,1557.36,1533.55,1538.74,21258,3386617848.0,-0.009143946321171437
2025-05-14,600519,1538.44,1593.44,1536.62,1583.43,39460,6394735058.0,0.029043243172985678
2025-05-15,600519,1583.24,1592.03,1572.57,1580.45,24733,4043402636.0,-0.001881990362693653
2025-05-16,600519,1582.43,1585.43,1562.57,1562.57,22935,3714508659.0,-0.011313233572716741
2025-05-19,600519,1544.44,1548.44,1522.32,1527.42,38063,6021950010.0,-0.022494992224348254
2025-05-20,600519,1528.44,1543.24,1523.54,1534.44,19522,3095742637.0,0.004595985387123358
2025-05-21,600519,1533.44,1544.38,1529.41,1529.41,19795,3143941416.0,-0.0032780688720315254
2025-05-22,600519,1529.43,1533.43,1518.54,1528.44,15090,2381236586.0,-0.0006342315010363642
2025-05-23,600519,1523.64,1536.34,1520.1,1521.04,21537,3399424961.0,-0.004841537777079963
2025-05-26,600519,1518.44,1523.07,1493.44,1498.94,27087,4212944430.0,-0.014529532425182734
2025-05-27,600519,1499.44,1507.04,1491.95,1492.34,17752,2748945675.0,-0.004403111532149451
2025-05-28,600519,1492.43,1494.9,1481.44,1485.44,16266,2504624605.0,-0.004623611241405978
2025-05-29,600519,1488.44,1503.44,1480.44,1488.44,21860,3375465796.0,0.002019603619129784
2025-05-30,600519,1488.59,1493.44,1463.68,1470.44,31239,4764875947.0,-0.01209319824782995
2025-06-03,600519,1456.45,1467.44,1453.46,1457.44,28979,4377892799.0,-0.008840891161829068
2025-06-04,600519,1458.94,1471.44,1457.66,1458.4,23008,3480363797.0,0.0006586892084752272
2025-06-05,600519,1462.44,1464.44,1450.64,1462.44,23214,3504925524.0,0.002770159078442136
2025-06-06,600519,1462.24,1467.41,1451.44,1454.83,25023,3777727616.0,-0.005203632285769033
2025-06-09,600519,1453.46,1457.14,1434.12,1434.55,44959,6723839138.0,-0.013939773031900637
2025-06-10,600519,1434.44,1440.44,1423.24,1423.45,30492,4511934584.0,-0.0077376180683838
2025-06-11,600519,1425.24,1442.44,1424.54,1428.44,30893,4585522755.0,0.0035055674593418296
2025-06-12,600519,1428.44,1432.31,1402.54,1407.44,49904,7306800800.0,-0.014701352524432276
2025-06-13,600519,1392.85,1398.41,1373.5,1375.39,59113,8466515559.0,-0.02277184107315411
2025-06-16,600519,1349.64,1373.48,1349.62,1370.73,42888,6060448438.0,-0.003388129912243132
2025-06-17,600519,1368.44,1375.44,1360.62,1375.44,27232,3868364671.0,0.0034361252763126515
2025-06-18,600519,1388.44,1391.88,1369.45,1373.44,30761,4404131364.0,-0.0014540801488978072
2025-06-19,600519,1374.44,1382.11,1365.62,1374.44,24501,3490268568.0,0.0007280987884437096
2025-06-20,600519,1372.02,1389.58,1368.64,1377.1,34816,4990683314.0,0.0019353336631644513
2025-06-23,600519,1368.44,1381.44,1353.62,1368.44,26723,3794012343.0,-0.006288577445356047
2025-06-24,600519,1371.79,1400.12,1371.79,1385.64,36312,5229183514.0,0.012569056736137618
2025-06-25,600519,1387.55,1397.64,1368.95,1384.3,41050,5869292227.0,-0.0009670621517855471
2025-06-26,600519,1391.04,1404.04,1386.12,1396.04,34860,4955829982.0,0.008480820631366015
2025-06-27,600519,1396.05,1399.04,1379.13,1379.13,38250,5404312675.0,-0.012112833443167714
2025-06-30,600519,1379.54,1389.27,1378.04,1385.56,30457,4287373691.0,0.004662359603518018
2025-07-01,600519,1385.04,1387.98,1379.35,1381.14,19878,2794423203.0,-0.0031900459020178795
2025-07-02,600519,1385.54,1390.84,1376.04,1385.64,26218,3689246316.0,0.003258178026847469
2025-07-03,600519,1388.04,1398.73,1384.04,1391.64,24413,3456733002.0,0.004330129037845243
2025-07-04,600519,1391.74,1407.93,1386.05,1398.26,28767,4086547268.0,0.004756977379207106
2025-07-07,600519,1398.32,1399.54,1386.05,1386.74,23855,3370562659.0,-0.00823881109378799
2025-07-08,600519,1386.75,1396.04,1386.74,1392.15,18674,2643302691.0,0.00390123599232739
2025-07-09,600519,1391.04,1406.01,1390.21,1394.92,27745,3950810723.0,0.0019897281183780535
2025-07-10,600519,1395.01,1412.22,1386.44,1402.54,38725,5503329754.0,0.005462678863303871
2025-07-11,600519,1399.2,1434.04,1399.2,1403.04,57243,8239010390.0,0.00035649607141330364
2025-07-14,600519,1406.04,1411.02,1397.64,1399.64,27781,3961736006.0,-0.0024233093853346377
2025-07-15,600519,1397.02,1398.97,1384.36,1387.04,35406,5005150165.0,-0.009002314880969475
2025-07-16,600519,1386.05,1393.53,1385.99,1387.07,21286,3006882579.0,2.1628792248318263e-05
2025-07-17,600519,1390.02,1399.05,1388.92,1392.39,23106,3273100406.0,0.003835422869790328
2025-07-18,600519,1396.04,1413.85,1392.42,1413.04,41823,5984949774.0,0.014830614985743784
2025-07-21,600519,1413.03,1422.84,1411.04,1419.04,26203,3779891829.0,0.004246164298250532
2025-07-22,600519,1420.04,1442.64,1416.72,1441.02,42119,6127636851.0,0.01548934490923437
2025-07-23,600519,1445.04,1471.04,1444.99,1451.54,45045,6676301462.0,0.007300384449903552
2025-07-24,600519,1452.04,1475.04,1451.04,1467.54,38804,5786337377.0,0.011022775810518581
2025-07-25,600519,1467.44,1467.44,1429.04,1431.04,41911,6140078741.0,-0.024871553756626752
2025-07-28,600519,1429.04,1431.03,1412.34,1414.7,38586,5560966386.0,-0.011418269230769162
2025-07-29,600519,1415.64,1424.83,1411.05,1415.04,26304,3785848102.0,0.00024033363964082177
2025-07-30,600519,1420.04,1433.2,1413.04,1425.48,31868,4612883040.0,0.007377883310719202
2025-07-31,600519,1419.04,1420.91,1394.04,1397.71,51798,7386302758.0,-0.01948115722423327
2025-08-01,600519,1397.91,1402.0,1390.04,1393.04,29636,4200850790.0,-0.003341179500754854
2025-08-04,600519,1391.04,1395.84,1390.04,1395.04,18688,2647105740.0,0.001435708953080983
2025-08-05,600519,1397.04,1405.98,1393.15,1403.78,25342,3607931488.0,0.006265053331804049
2025-08-06,600519,1405.04,1405.04,1395.34,1399.92,23699,3372334940.0,-0.002749718616877228
2025-08-07,600519,1399.92,1403.74,1396.1,1398.39,28001,3988765795.0,-0.0010929195954054727
2025-08-08,600519,1399.09,1402.54,1394.04,1397.01,18655,2651478118.0,-0.0009868491622510023
2025-08-11,600519,1399.54,1428.03,1399.04,1421.04,47159,6794034090.0,0.01720102218309094
2025-08-12,600519,1425.04,1441.11,1412.04,1413.08,42019,6095342036.0,-0.005601531272870552
2025-08-13,600519,1401.04,1409.72,1396.04,1396.09,65528,9325460101.0,-0.012023381549522982
2025-08-14,600519,1396.98,1423.55,1396.98,1403.03,48129,6897535330.0,0.004971026223237862
2025-08-15,600519,1402.05,1404.7,1396.26,1398.12,47582,6772436997.0,-0.0034995687904036954
2025-08-18,600519,1403.03,1412.68,1399.14,1404.54,47378,6773477871.0,0.004591880525276926
2025-08-19,600519,1409.54,1422.7,1408.04,1414.04,46372,6678541001.0,0.006763780312415424
2025-08-20,600519,1414.04,1428.84,1406.06,1426.04,45805,6623095725.0,0.008486322876297692
2025-08-21,600519,1429.49,1431.03,1419.69,1424.29,30891,4470441662.0,-0.0012271745533084522
2025-08-22,600519,1424.92,1440.04,1420.81,1439.99,44971,6544867368.0,0.011023036039008893
2025-08-25,600519,1446.05,1472.04,1442.04,1466.37,65325,9676719498.0,0.018319571663692136
